start_time,end_time,bus_id,route_name,direction
2025-08-23 21:24:02,2025-08-23 21:37:02,1900,901 State Fair - Hub,hub-bound
2025-08-23 21:37:02,2025-08-23 22:00:01,1900,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 22:00:01,2025-08-23 22:09:01,1900,901 State Fair - Hub,hub-bound
2025-08-23 22:09:01,2025-08-23 22:26:02,1900,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 22:26:02,2025-08-23 22:38:02,1900,901 State Fair - Hub,hub-bound
2025-08-23 22:38:02,2025-08-23 23:01:01,1900,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 23:01:01,2025-08-23 23:13:01,1900,901 State Fair - Hub,hub-bound
2025-08-23 23:13:01,2025-08-23 23:33:01,1900,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 23:33:01,2025-08-23 23:49:01,1900,901 State Fair - Hub,hub-bound
2025-08-23 23:49:01,2025-08-24 00:01:01,1900,901 State Fair - Hub,Fairgrounds-bound
2025-08-24 00:01:01,2025-08-24 00:18:01,1900,901 State Fair - Hub,hub-bound
2025-09-01 20:11:01,2025-09-01 20:34:01,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 20:34:01,2025-09-01 20:52:01,1902,901 State Fair - Hub,hub-bound
2025-09-01 20:52:01,2025-09-01 21:08:01,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 21:08:01,2025-09-01 21:31:02,1902,901 State Fair - Hub,hub-bound
2025-09-01 21:31:02,2025-09-01 21:52:02,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 21:52:02,2025-09-01 22:15:01,1902,901 State Fair - Hub,hub-bound
2025-09-01 22:15:01,2025-09-01 22:34:01,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 22:34:01,2025-09-01 22:57:01,1902,901 State Fair - Hub,hub-bound
2025-09-01 22:57:01,2025-09-01 23:13:01,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 23:13:01,2025-09-01 23:31:01,1902,901 State Fair - Hub,hub-bound
2025-09-01 23:31:01,2025-09-01 23:46:01,1902,901 State Fair - Hub,Fairgrounds-bound
2025-09-01 23:46:01,2025-09-02 00:18:02,1902,901 State Fair - Hub,hub-bound
2025-08-31 23:14:01,2025-08-31 23:36:01,1904,907 Long Branch Park,Long Branch Park-bound
2025-08-31 23:36:01,2025-08-31 23:55:01,1904,907 Long Branch Park,Fairgrounds-bound
2025-08-31 23:55:01,2025-09-01 00:17:01,1904,907 Long Branch Park,Long Branch Park-bound
2025-09-01 00:17:01,2025-09-01 00:34:01,1904,907 Long Branch Park,Fairgrounds-bound
2025-09-01 00:34:01,2025-09-01 00:58:01,1904,907 Long Branch Park,Long Branch Park-bound
2025-09-01 00:58:01,2025-09-01 01:12:01,1904,907 Long Branch Park,Fairgrounds-bound
2025-09-01 01:12:01,2025-09-01 01:40:01,1904,907 Long Branch Park,Long Branch Park-bound
2025-09-01 01:40:01,2025-09-01 01:55:01,1904,907 Long Branch Park,Fairgrounds-bound
2025-08-27 00:23:02,2025-08-27 00:38:01,2020,909 Destiny USA,Fairgrounds-bound
2025-08-27 00:38:01,2025-08-27 00:57:02,2020,909 Destiny USA,Destiny USA-bound
2025-08-27 00:57:02,2025-08-27 01:11:01,2020,909 Destiny USA,Fairgrounds-bound
2025-08-27 01:11:01,2025-08-27 01:30:02,2020,909 Destiny USA,Destiny USA-bound
2025-08-27 01:30:02,2025-08-27 01:44:01,2020,909 Destiny USA,Fairgrounds-bound
2025-08-27 01:44:01,2025-08-27 02:00:01,2020,909 Destiny USA,Destiny USA-bound
2025-08-27 02:00:01,2025-08-27 02:08:01,2020,909 Destiny USA,Fairgrounds-bound
2025-08-27 02:08:01,2025-08-27 02:43:01,2020,909 Destiny USA,Destiny USA-bound
2025-08-27 02:43:01,2025-08-27 02:53:01,2020,909 Destiny USA,Fairgrounds-bound
2025-08-27 02:53:01,2025-08-27 03:06:02,2020,909 Destiny USA,Destiny USA-bound
2025-08-27 00:51:01,2025-08-27 01:12:01,2230,907 Long Branch Park,Long Branch Park-bound
2025-08-27 01:12:01,2025-08-27 01:36:01,2230,907 Long Branch Park,Fairgrounds-bound
2025-08-27 01:40:01,2025-08-27 01:51:01,2230,909 Destiny USA,Destiny USA-bound
2025-08-27 01:51:01,2025-08-27 02:01:01,2230,909 Destiny USA,Fairgrounds-bound
2025-08-27 02:04:01,2025-08-27 02:21:01,2230,907 Long Branch Park,Long Branch Park-bound
2025-08-27 02:21:01,2025-08-27 02:33:02,2230,907 Long Branch Park,Fairgrounds-bound
2025-09-01 22:36:01,2025-09-01 23:08:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-01 23:08:01,2025-09-01 23:26:02,2233,909 Destiny USA,Destiny USA-bound
2025-09-01 23:26:02,2025-09-01 23:54:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-01 23:54:01,2025-09-02 00:18:02,2233,909 Destiny USA,Destiny USA-bound
2025-09-02 00:18:02,2025-09-02 00:30:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-02 00:30:01,2025-09-02 00:47:01,2233,909 Destiny USA,Destiny USA-bound
2025-09-02 00:47:01,2025-09-02 00:56:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-02 00:56:01,2025-09-02 01:07:01,2233,909 Destiny USA,Destiny USA-bound
2025-09-02 01:07:01,2025-09-02 01:16:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-02 01:16:01,2025-09-02 01:27:02,2233,909 Destiny USA,Destiny USA-bound
2025-09-02 01:27:02,2025-09-02 01:37:01,2233,909 Destiny USA,Fairgrounds-bound
2025-09-02 01:37:01,2025-09-02 02:00:02,2233,909 Destiny USA,Destiny USA-bound
2025-08-23 16:11:01,2025-08-23 16:26:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 16:26:01,2025-08-23 16:39:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 16:39:01,2025-08-23 16:57:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 16:57:01,2025-08-23 17:15:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 17:15:01,2025-08-23 17:33:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 17:33:01,2025-08-23 17:50:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 17:50:01,2025-08-23 18:24:02,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 18:24:02,2025-08-23 18:38:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 18:38:01,2025-08-23 19:12:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 19:12:01,2025-08-23 19:27:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 19:27:01,2025-08-23 19:50:01,2235,909 Destiny USA,Fairgrounds-bound
