timestamp,route,count
2025-08-28 17:24:01,582 Orange Lot,1
2025-08-28 17:25:01,901 State Fair - Hub,1
2025-08-28 17:25:01,909 Destiny USA,4
2025-08-28 17:25:01,907 Long Branch Park,1
2025-08-28 17:25:01,582 Orange Lot,1
2025-08-28 17:26:01,901 State Fair - Hub,1
2025-08-28 17:26:01,909 Destiny USA,4
2025-08-28 17:26:01,907 Long Branch Park,1
2025-08-28 17:26:01,582 Orange Lot,1
2025-08-28 17:27:01,901 State Fair - Hub,1
2025-08-28 17:27:01,909 Destiny USA,3
2025-08-28 17:27:01,907 Long Branch Park,1
2025-08-28 17:27:01,582 Orange Lot,1
2025-08-28 17:28:01,901 State Fair - Hub,1
2025-08-28 17:28:01,909 Destiny USA,3
2025-08-28 17:28:01,907 Long Branch Park,1
2025-08-28 17:28:01,582 Orange Lot,1
2025-08-28 17:29:01,901 State Fair - Hub,1
2025-08-28 17:29:01,909 Destiny USA,3
2025-08-28 17:29:01,907 Long Branch Park,1
2025-08-28 17:29:01,582 Orange Lot,1
2025-08-28 17:30:01,901 State Fair - Hub,1
2025-08-28 17:30:01,909 Destiny USA,3
2025-08-28 17:30:01,907 Long Branch Park,1
2025-08-28 17:30:01,582 Orange Lot,1
2025-08-28 17:31:02,901 State Fair - Hub,1
2025-08-28 17:31:02,909 Destiny USA,3
2025-08-28 17:31:02,907 Long Branch Park,0
2025-08-28 17:31:02,582 Orange Lot,1
2025-08-28 17:32:01,901 State Fair - Hub,1
2025-08-28 17:32:01,909 Destiny USA,3
2025-08-28 17:32:01,907 Long Branch Park,1
2025-08-28 17:32:01,582 Orange Lot,1
2025-08-28 17:33:01,901 State Fair - Hub,1
2025-08-28 17:33:01,909 Destiny USA,3
2025-08-28 17:33:01,907 Long Branch Park,1
2025-08-28 17:33:01,582 Orange Lot,1
2025-08-28 17:34:01,901 State Fair - Hub,1
2025-08-28 17:34:01,909 Destiny USA,3
2025-08-28 17:34:01,907 Long Branch Park,1
2025-08-28 17:34:01,582 Orange Lot,1
2025-08-28 17:35:02,901 State Fair - Hub,1
2025-08-28 17:35:02,909 Destiny USA,3
2025-08-28 17:35:02,907 Long Branch Park,1
2025-08-28 17:35:02,582 Orange Lot,1
2025-08-28 17:36:01,901 State Fair - Hub,1
2025-08-28 17:36:01,909 Destiny USA,3
2025-08-28 17:36:01,907 Long Branch Park,1
2025-08-28 17:36:01,582 Orange Lot,1
2025-08-28 17:37:01,901 State Fair - Hub,1
2025-08-28 17:37:01,909 Destiny USA,3
2025-08-28 17:37:01,907 Long Branch Park,1
2025-08-28 17:37:01,582 Orange Lot,1
2025-08-28 17:38:01,901 State Fair - Hub,1
2025-08-28 17:38:01,909 Destiny USA,3
2025-08-28 17:38:01,907 Long Branch Park,1
2025-08-28 17:38:01,582 Orange Lot,1
2025-08-28 17:39:01,901 State Fair - Hub,1
2025-08-28 17:39:01,909 Destiny USA,3
2025-08-28 17:39:01,907 Long Branch Park,1
2025-08-28 17:39:01,582 Orange Lot,1
2025-08-28 17:40:01,901 State Fair - Hub,1
2025-08-28 17:40:01,909 Destiny USA,3
2025-08-28 17:40:01,907 Long Branch Park,1
2025-08-28 17:40:01,582 Orange Lot,1
2025-08-28 17:41:01,901 State Fair - Hub,1
2025-08-28 17:41:01,909 Destiny USA,3
2025-08-28 17:41:01,907 Long Branch Park,1
2025-08-28 17:41:01,582 Orange Lot,1
2025-08-28 17:42:01,901 State Fair - Hub,1
2025-08-28 17:42:01,909 Destiny USA,3
2025-08-28 17:42:01,907 Long Branch Park,1
2025-08-28 17:42:01,582 Orange Lot,1
2025-08-28 17:43:01,901 State Fair - Hub,1
2025-08-28 17:43:01,909 Destiny USA,3
2025-08-28 17:43:01,907 Long Branch Park,1
2025-08-28 17:43:01,582 Orange Lot,1
2025-08-28 17:44:01,901 State Fair - Hub,1
2025-08-28 17:44:01,909 Destiny USA,3
2025-08-28 17:44:01,907 Long Branch Park,1
2025-08-28 17:44:01,582 Orange Lot,1
