,start_time,end_time,bus_id,route_name,direction
3222,2024-08-21 17:08:01,2024-08-21 17:21:02,1910,907 Long Branch Park,Long Branch Park-bound
1958,2024-08-21 17:13:01,2024-08-21 17:33:01,1778,901 State Fair - Hub,Fairgrounds-bound
4638,2024-08-21 17:18:01,2024-08-21 17:29:03,2242,909 Destiny USA,Destiny USA-bound
3223,2024-08-21 17:21:02,2024-08-21 17:59:01,1910,907 Long Branch Park,Fairgrounds-bound
2905,2024-08-21 17:28:02,2024-08-21 17:49:01,1905,907 Long Branch Park,Fairgrounds-bound
4639,2024-08-21 17:29:03,2024-08-21 18:08:02,2242,909 Destiny USA,Fairgrounds-bound
4320,2024-08-21 17:31:02,2024-08-21 17:43:02,2238,901 State Fair - Hub,hub-bound
1959,2024-08-21 17:33:01,2024-08-21 17:43:02,1778,901 State Fair - Hub,hub-bound
1483,2024-08-21 17:42:03,2024-08-21 17:54:02,1771,909 Destiny USA,Destiny USA-bound
4321,2024-08-21 17:43:02,2024-08-21 17:56:01,2238,901 State Fair - Hub,Fairgrounds-bound
1960,2024-08-21 17:43:02,2024-08-21 18:06:01,1778,901 State Fair - Hub,Fairgrounds-bound
2906,2024-08-21 17:49:01,2024-08-21 18:13:02,1905,907 Long Branch Park,Long Branch Park-bound
1484,2024-08-21 17:54:02,2024-08-21 18:21:02,1771,909 Destiny USA,Fairgrounds-bound
4322,2024-08-21 17:56:01,2024-08-21 18:08:02,2238,901 State Fair - Hub,hub-bound
3224,2024-08-21 17:59:01,2024-08-21 18:21:02,1910,907 Long Branch Park,Long Branch Park-bound
1961,2024-08-21 18:06:01,2024-08-21 18:17:01,1778,901 State Fair - Hub,hub-bound
4640,2024-08-21 18:08:02,2024-08-21 18:22:03,2242,909 Destiny USA,Destiny USA-bound
4323,2024-08-21 18:08:02,2024-08-21 18:30:02,2238,901 State Fair - Hub,Fairgrounds-bound
2907,2024-08-21 18:13:02,2024-08-21 18:33:01,1905,907 Long Branch Park,Fairgrounds-bound
1962,2024-08-21 18:17:01,2024-08-21 18:40:01,1778,901 State Fair - Hub,Fairgrounds-bound
3225,2024-08-21 18:21:02,2024-08-21 18:59:01,1910,907 Long Branch Park,Fairgrounds-bound
1485,2024-08-21 18:21:02,2024-08-21 18:33:01,1771,909 Destiny USA,Destiny USA-bound
4641,2024-08-21 18:22:03,2024-08-21 18:53:02,2242,909 Destiny USA,Fairgrounds-bound
4324,2024-08-21 18:30:02,2024-08-21 18:44:02,2238,901 State Fair - Hub,hub-bound
1486,2024-08-21 18:33:01,2024-08-21 19:04:01,1771,909 Destiny USA,Fairgrounds-bound
2908,2024-08-21 18:33:01,2024-08-21 18:48:02,1905,907 Long Branch Park,Long Branch Park-bound
3816,2024-08-21 18:37:02,2024-08-21 18:49:02,2230,909 Destiny USA,Destiny USA-bound
1963,2024-08-21 18:40:01,2024-08-21 18:51:01,1778,901 State Fair - Hub,hub-bound
4325,2024-08-21 18:44:02,2024-08-21 19:02:02,2238,901 State Fair - Hub,Fairgrounds-bound
2909,2024-08-21 18:48:02,2024-08-21 19:05:02,1905,907 Long Branch Park,Fairgrounds-bound
3817,2024-08-21 18:49:02,2024-08-21 19:17:00,2230,909 Destiny USA,Fairgrounds-bound
1964,2024-08-21 18:51:01,2024-08-21 19:13:02,1778,901 State Fair - Hub,Fairgrounds-bound
4642,2024-08-21 18:53:02,2024-08-21 19:08:02,2242,909 Destiny USA,Destiny USA-bound
3226,2024-08-21 18:59:01,2024-08-21 19:13:02,1910,907 Long Branch Park,Long Branch Park-bound
4326,2024-08-21 19:02:02,2024-08-21 19:15:02,2238,901 State Fair - Hub,hub-bound
1487,2024-08-21 19:04:01,2024-08-21 19:14:00,1771,909 Destiny USA,Destiny USA-bound
2910,2024-08-21 19:05:02,2024-08-21 19:27:02,1905,907 Long Branch Park,Long Branch Park-bound
4643,2024-08-21 19:08:02,2024-08-21 19:26:01,2242,909 Destiny USA,Fairgrounds-bound
1965,2024-08-21 19:13:02,2024-08-21 19:25:01,1778,901 State Fair - Hub,hub-bound
3227,2024-08-21 19:13:02,2024-08-21 19:39:02,1910,907 Long Branch Park,Fairgrounds-bound
1488,2024-08-21 19:14:00,2024-08-21 19:43:02,1771,909 Destiny USA,Fairgrounds-bound
4327,2024-08-21 19:15:02,2024-08-21 19:29:02,2238,901 State Fair - Hub,Fairgrounds-bound
3818,2024-08-21 19:17:00,2024-08-21 19:33:02,2230,909 Destiny USA,Destiny USA-bound
1966,2024-08-21 19:25:01,2024-08-21 19:48:01,1778,901 State Fair - Hub,Fairgrounds-bound
4644,2024-08-21 19:26:01,2024-08-21 19:41:01,2242,909 Destiny USA,Destiny USA-bound
2911,2024-08-21 19:27:02,2024-08-21 20:09:01,1905,907 Long Branch Park,Fairgrounds-bound
4328,2024-08-21 19:29:02,2024-08-21 19:41:01,2238,901 State Fair - Hub,hub-bound
3819,2024-08-21 19:33:02,2024-08-21 19:58:01,2230,909 Destiny USA,Fairgrounds-bound
3228,2024-08-21 19:39:02,2024-08-21 20:00:02,1910,907 Long Branch Park,Long Branch Park-bound
4329,2024-08-21 19:41:01,2024-08-21 19:55:01,2238,901 State Fair - Hub,Fairgrounds-bound
4645,2024-08-21 19:41:01,2024-08-21 20:11:01,2242,909 Destiny USA,Fairgrounds-bound
1489,2024-08-21 19:43:02,2024-08-21 19:56:01,1771,909 Destiny USA,Destiny USA-bound
1967,2024-08-21 19:48:01,2024-08-21 19:59:02,1778,901 State Fair - Hub,hub-bound
4330,2024-08-21 19:55:01,2024-08-21 20:05:02,2238,901 State Fair - Hub,hub-bound
1490,2024-08-21 19:56:01,2024-08-21 20:22:02,1771,909 Destiny USA,Fairgrounds-bound
3820,2024-08-21 19:58:01,2024-08-21 20:12:02,2230,909 Destiny USA,Destiny USA-bound
1968,2024-08-21 19:59:02,2024-08-21 20:19:01,1778,901 State Fair - Hub,Fairgrounds-bound
3229,2024-08-21 20:00:02,2024-08-21 20:14:01,1910,907 Long Branch Park,Fairgrounds-bound
2053,2024-08-21 20:04:02,2024-08-21 20:42:01,1780,907 Long Branch Park,Fairgrounds-bound
4331,2024-08-21 20:05:02,2024-08-21 20:25:01,2238,901 State Fair - Hub,Fairgrounds-bound
2912,2024-08-21 20:09:01,2024-08-21 20:27:02,1905,907 Long Branch Park,Long Branch Park-bound
4646,2024-08-21 20:11:01,2024-08-21 20:29:02,2242,909 Destiny USA,Destiny USA-bound
3821,2024-08-21 20:12:02,2024-08-21 20:36:02,2230,909 Destiny USA,Fairgrounds-bound
3230,2024-08-21 20:14:01,2024-08-21 20:30:02,1910,907 Long Branch Park,Long Branch Park-bound
1969,2024-08-21 20:19:01,2024-08-21 20:39:01,1778,901 State Fair - Hub,hub-bound
1491,2024-08-21 20:22:02,2024-08-21 20:37:02,1771,909 Destiny USA,Destiny USA-bound
4332,2024-08-21 20:25:01,2024-08-21 20:36:02,2238,901 State Fair - Hub,hub-bound
1066,2024-08-21 20:26:00,2024-08-21 20:42:01,1765,901 State Fair - Hub,Fairgrounds-bound
2913,2024-08-21 20:27:02,2024-08-21 20:45:03,1905,907 Long Branch Park,Fairgrounds-bound
4647,2024-08-21 20:29:02,2024-08-21 20:49:01,2242,909 Destiny USA,Fairgrounds-bound
3231,2024-08-21 20:30:02,2024-08-21 21:08:01,1910,907 Long Branch Park,Fairgrounds-bound
3822,2024-08-21 20:36:02,2024-08-21 20:51:01,2230,909 Destiny USA,Destiny USA-bound
1492,2024-08-21 20:37:02,2024-08-21 21:03:02,1771,909 Destiny USA,Fairgrounds-bound
1970,2024-08-21 20:39:01,2024-08-21 20:56:01,1778,901 State Fair - Hub,Fairgrounds-bound
1067,2024-08-21 20:42:01,2024-08-21 20:58:01,1765,901 State Fair - Hub,hub-bound
2054,2024-08-21 20:42:01,2024-08-21 21:01:01,1780,907 Long Branch Park,Long Branch Park-bound
4648,2024-08-21 20:49:01,2024-08-21 21:03:02,2242,909 Destiny USA,Destiny USA-bound
3823,2024-08-21 20:51:01,2024-08-21 21:13:03,2230,909 Destiny USA,Fairgrounds-bound
1971,2024-08-21 20:56:01,2024-08-21 21:11:02,1778,901 State Fair - Hub,hub-bound
1068,2024-08-21 20:58:01,2024-08-21 21:15:02,1765,901 State Fair - Hub,Fairgrounds-bound
2055,2024-08-21 21:01:01,2024-08-21 21:38:03,1780,907 Long Branch Park,Fairgrounds-bound
4649,2024-08-21 21:03:02,2024-08-21 21:29:02,2242,909 Destiny USA,Fairgrounds-bound
1493,2024-08-21 21:03:02,2024-08-21 21:17:00,1771,909 Destiny USA,Destiny USA-bound
3232,2024-08-21 21:08:01,2024-08-21 21:26:02,1910,907 Long Branch Park,Long Branch Park-bound
1972,2024-08-21 21:11:02,2024-08-21 21:28:02,1778,901 State Fair - Hub,Fairgrounds-bound
3824,2024-08-21 21:13:03,2024-08-21 21:25:02,2230,909 Destiny USA,Destiny USA-bound
1069,2024-08-21 21:15:02,2024-08-21 21:28:02,1765,901 State Fair - Hub,hub-bound
1494,2024-08-21 21:17:00,2024-08-21 21:39:02,1771,909 Destiny USA,Fairgrounds-bound
3825,2024-08-21 21:25:02,2024-08-21 21:54:02,2230,909 Destiny USA,Fairgrounds-bound
3233,2024-08-21 21:26:02,2024-08-21 22:06:02,1910,907 Long Branch Park,Fairgrounds-bound
1070,2024-08-21 21:28:02,2024-08-21 21:41:01,1765,901 State Fair - Hub,Fairgrounds-bound
1973,2024-08-21 21:28:02,2024-08-21 21:46:02,1778,901 State Fair - Hub,hub-bound
4650,2024-08-21 21:29:02,2024-08-21 21:46:02,2242,909 Destiny USA,Destiny USA-bound
2056,2024-08-21 21:38:03,2024-08-21 21:55:01,1780,907 Long Branch Park,Long Branch Park-bound
1495,2024-08-21 21:39:02,2024-08-21 21:51:03,1771,909 Destiny USA,Destiny USA-bound
1071,2024-08-21 21:41:01,2024-08-21 21:55:01,1765,901 State Fair - Hub,hub-bound
1974,2024-08-21 21:46:02,2024-08-21 22:01:01,1778,901 State Fair - Hub,Fairgrounds-bound
4651,2024-08-21 21:46:02,2024-08-21 22:10:02,2242,909 Destiny USA,Fairgrounds-bound
1496,2024-08-21 21:51:03,2024-08-21 22:17:02,1771,909 Destiny USA,Fairgrounds-bound
3826,2024-08-21 21:54:02,2024-08-21 22:07:01,2230,909 Destiny USA,Destiny USA-bound
1072,2024-08-21 21:55:01,2024-08-21 22:08:00,1765,901 State Fair - Hub,Fairgrounds-bound
2057,2024-08-21 21:55:01,2024-08-21 22:12:01,1780,907 Long Branch Park,Fairgrounds-bound
1975,2024-08-21 22:01:01,2024-08-21 22:13:02,1778,901 State Fair - Hub,hub-bound
3234,2024-08-21 22:06:02,2024-08-21 22:20:01,1910,907 Long Branch Park,Long Branch Park-bound
3827,2024-08-21 22:07:01,2024-08-21 22:29:01,2230,909 Destiny USA,Fairgrounds-bound
1073,2024-08-21 22:08:00,2024-08-21 22:23:01,1765,901 State Fair - Hub,hub-bound
4652,2024-08-21 22:10:02,2024-08-21 22:21:01,2242,909 Destiny USA,Destiny USA-bound
2058,2024-08-21 22:12:01,2024-08-21 22:34:01,1780,907 Long Branch Park,Long Branch Park-bound
1976,2024-08-21 22:13:02,2024-08-21 22:29:01,1778,901 State Fair - Hub,Fairgrounds-bound
1497,2024-08-21 22:17:02,2024-08-21 22:28:03,1771,909 Destiny USA,Destiny USA-bound
